CATEGORY,NUMBER CODE,NAME,THICKNESS (mm),LOAD FUNCTION,STIFFENING FUNCTION,PREFABRICATION,EXTERNAL,WATER,HEATING,VENTILATION,ELECTRICITY,FIRE REGULATION,FIRE PROTECTION,ACUSTIC REQS,FINISHING,U-WERT,VERSION,ImageURL
SLAB,SLA_32,Boden 2D-Bereich Staffelgeschoss Innenbereich 240BSP,580,TRUE,TRUE,2D Panels,FALSE,TRUE,TRUE,FALSE,FALSE,GK V,UNIT PARTITION,UNIT PARTITION,PARQUET/TILES/TIMBER/LINOLEUM,0,Draft Placeholder,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=95igpxpm&dl=1
SLAB,SLA_33,Boden 2D-Bereich Staffelgeschoss Terrasse 120BSP,460,TRUE,TRUE,2D Panels,TRUE,TRUE,TRUE,FALSE,FALSE,GK V,UNIT PARTITION,UNIT PARTITION,HOLZROST/ZEMENTPLATTEN,0,Draft Placeholder,https://www.dropbox.com/scl/fi/83aolfk0hgyt21fw5wb4z/SLA_33.png?rlkey=c7oshhb14sqy4bz98zeupruj8&st=fzm6s7gd&dl=1
SLAB,SLA_34,Boden 2D-Bereich Staffelgeschoss Terrasse 220BSP,540,TRUE,TRUE,2D Panels,TRUE,TRUE,TRUE,FALSE,FALSE,GK V,UNIT PARTITION,UNIT PARTITION,HOLZROST/ZEMENTPLATTEN,0,Draft Placeholder,https://www.dropbox.com/scl/fi/vynrce1eafsqmw5k6fwiv/SLA_34.png?rlkey=9hfz3axuusm5p41s2z3xkiqav&st=zz5kep70&dl=1
SLAB,SLA_35,Boden 2D-Bereich Staffelgeschoss Terrasse 240BSP,580,TRUE,TRUE,2D Panels,TRUE,TRUE,TRUE,FALSE,FALSE,GK V,UNIT PARTITION,UNIT PARTITION,HOLZROST/ZEMENTPLATTEN,0,Draft Placeholder,https://www.dropbox.com/scl/fi/3cjdpy7hzdx3xezfsg1bt/SLA_35.png?rlkey=k3ioy3dtx2ykc34smzlhb3n6p&st=y0blerj9&dl=1
SLAB,SLA_36,Boden 3D Modul Dach,440,TRUE,TRUE,3D Mod,TRUE,TRUE,FALSE,FALSE,TRUE,GK V,UNIT PARTITION,UNIT PARTITION,EXT. BEGRÜNUNG,0,Draft Placeholder,https://www.dropbox.com/scl/fi/bzyfr4u2ymapryycjvr3i/SLA_36.png?rlkey=tbwl76bsurgi38to26lerdhfg&st=md4jeu5x&dl=1
SLAB,SLA_37,Boden 2D-Bereich Dach 120BSP,480,TRUE,TRUE,2D Panels,TRUE,TRUE,FALSE,FALSE,FALSE,GK V,UNIT PARTITION,UNIT PARTITION,EXT. BEGRÜNUNG,0,Draft Placeholder,https://www.dropbox.com/scl/fi/as0dmu32zctp4ihsjy1wj/SLA_37.png?rlkey=60szo9xw3rnoennt27ygnt5ny&st=okxre323&dl=1
SLAB,SLA_38,Boden 2D-Bereich Dach 220BSP,560,TRUE,TRUE,2D Panels,TRUE,TRUE,FALSE,FALSE,FALSE,GK V,UNIT PARTITION,UNIT PARTITION,EXT. BEGRÜNUNG,0,Draft Placeholder,https://www.dropbox.com/scl/fi/20st7p5mq9nahu1lz4vws/SLA_38.png?rlkey=p5fgmjdy42zxtdy38zfwnnbfc&st=7zv5nmf4&dl=1
SLAB,SLA_39,Boden 2D-Bereich Dach 240BSP,600,TRUE,TRUE,2D Panels,TRUE,TRUE,FALSE,FALSE,FALSE,GK V,UNIT PARTITION,UNIT PARTITION,EXT. BEGRÜNUNG,0,Draft Placeholder,https://www.dropbox.com/scl/fi/2z7fziw4nkwatmzox72kb/SLA_39.png?rlkey=dkpdb95et6imfzyu305ydqg2i&st=rojc76pg&dl=1
COLUMN,COL_21,260X260 GL30h,260,TRUE,TRUE,2D Panels,FALSE,FALSE,FALSE,FALSE,FALSE,GK IV,STRUCTURE,IN UNIT,TIMBER,0,Developed,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=95igpxpm&dl=1
COLUMN,COL_22,260x320 GL30h,260,TRUE,TRUE,3D Mod,FALSE,FALSE,FALSE,FALSE,FALSE,GK IV,STRUCTURE,IN UNIT,TIMBER,0,Developed,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=95igpxpm&dl=1
COLUMN,COL_23,260x360 GL30h,260,TRUE,TRUE,2D Panels,FALSE,FALSE,FALSE,FALSE,FALSE,GK IV,STRUCTURE,IN UNIT,TIMBER,0,Developed,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=95igpxpm&dl=1
COLUMN,COL_24,280x560 GL30h,280,TRUE,TRUE,3D Mod,FALSE,FALSE,FALSE,FALSE,FALSE,GK IV,STRUCTURE,IN UNIT,TIMBER,0,Developed,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=95igpxpm&dl=1
BEAM,BEA_21,260x220 GL28c,260,TRUE,TRUE,3D Mod,FALSE,FALSE,FALSE,FALSE,FALSE,GK V,STRUCTURE,IN UNIT,TIMBER,0,Developed,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=95igpxpm&dl=1
BEAM,BEA_22,260x320 GL28c,260,TRUE,TRUE,2D Panels,FALSE,FALSE,FALSE,FALSE,FALSE,GK V,STRUCTURE,IN UNIT,TIMBER,0,Developed,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=95igpxpm&dl=1
BEAM,BEA_23,260x320 Baubuche GL75,260,TRUE,TRUE,2D Panels,FALSE,FALSE,FALSE,FALSE,FALSE,GK V,STRUCTURE,IN UNIT,TIMBER,0,Developed,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=95igpxpm&dl=1
