building_id,floor_id,apartment_id,area_sim,iou,haus,score
442,1738,6ecfe395f09c980ff9b18d1274e478dd,0.9306149414022311,0.49784460667027547,1.6688230915280664,0.6295463656492257
442,1738,c560bf4869b09d134e8b04d15c3924db,0.8221000802508864,0.6585217436100568,1.227890447972553,0.6878872455144032
442,1738,FLOOR_AVERAGE,0.7104790431999268,0.48054963475704077,1.7081975764734865,0.5312274815267626
444,11888,2d5de5c93073baf70db3d0374ba33206,0.3277783812959717,0.3277783812959717,1.6675675099381695,0.3767214323854788
444,11888,720a5ec8cf34904eda0e5213883073f1,0.31362131380766245,0.3136213138076624,1.6612928924400003,0.3657174971728096
444,11888,eab7daf9066e72e714bc01e3782417cb,0.817215692851895,0.5150023689307656,1.6598082785013668,0.6477837915247493
444,11888,0429b1c1d879653f7f02bb05a06b3642,0.8226128029441198,0.5182340206396654,1.634982554518907,0.6525081868372381
444,11888,33511c184954efaeebe25eb7a4cb88ac,0.8439864520460509,0.561961924152858,2.135774833817233,0.6528716602063463
444,11888,b029e3e1855f45ed5a37c7751b615e0b,0.8240783871276331,0.21321995660648893,3.9006846523537515,0.41491933749364884
444,11888,FLOOR_AVERAGE,0.6582155050122221,0.408302994238902,2.1100184535949045,0.5184203176033785
449,1764,91aa260a6261dcdf9542dfa4a43a018c,0.7958122502004623,0.3468568795710582,1.9383391807131567,0.4570676519086082
449,1764,2ac7f80252461cb3107f730c666ade42,0.8950462996564095,0.7140961938462018,1.1627227809174256,0.7236859631788881
449,1764,e116a53582ffd10d1a56ae822313f00d,0.8891576808204631,0.6962654148035531,1.2176335689135267,0.7085324476373945
449,1764,FLOOR_AVERAGE,0.8600054102257783,0.5857394960736043,1.4395651768480364,0.6297620209082969
450,1768,c3f8b6e7addd3fac269f1b22572782a4,0.8589125017293697,0.7047398250332015,1.215824017913457,0.7015744100727841
450,1768,92fe5129f50b129df905438b22d30140,0.7675652572013749,0.34526273829209914,1.9628027515965436,0.44513119819738967
450,1768,caec9f624002ce055069ec733b29bdc3,0.8509865840284094,0.6864414009716872,1.2549542398042592,0.6870974951494048
450,1768,FLOOR_AVERAGE,0.8258214476530513,0.5788146547656626,1.4778603364380867,0.6112677011398594
451,1772,45379af050c44a3497d965df1da1128a,0.9021438315205632,0.7071318451503592,1.1415048404564185,0.7223445684721956
451,1772,84b1fa6b60e1a8f241d871f02327004b,0.9040015466189983,0.42027697316126283,1.8810995525099987,0.5297114079121045
451,1772,c0db2cd6359b9e9527c513f45910ff56,0.7776746861665095,0.767714402134142,1.0117778355699432,0.7105826114236888
451,1772,FLOOR_AVERAGE,0.8612733547686903,0.631707740148588,1.3447940761787869,0.654212862602663
453,1784,c775f19a255dbc872f7bea7d3556a44d,0.5257963518586991,0.480332218715214,2.060803911861247,0.4569235252844448
453,1784,2f88a7e37b6ec4f6c900d98433aeb1e0,0.381981195851845,0.38198119585184487,2.8321770191911435,0.30558495668147595
453,1784,96dda3e6f53300784474979c8e89e11c,0.3809278813960144,0.3809278813960145,2.8270911793067106,0.3051014521510521
453,1784,de55bf30cf6fa42e7b06900ab93d430b,0.5267685595035407,0.4808730978668389,2.0547546752537196,0.4579559392765399
453,1784,FLOOR_AVERAGE,0.4538684971525248,0.4310285984574781,2.443706696403205,0.3813914683483781
454,1787,d70987ecbc4434a66e3f0c18235df299,0.673284845970799,0.5277374251976049,1.7685984919167665,0.5708804283855
454,1787,855db6b08268a833cdb82b6cc53167f8,0.3406638097226661,0.3406638097226659,3.22947691887063,0.2725310477781328
454,1787,8dbca6e477d1fa88f11d3f49c202a4dc,0.3888973514618549,0.38859395570474903,2.431778797483905,0.3603975956363882
454,1787,f09321c26f5a66c6e0eb9622dd8a34e8,0.5591554659797897,0.4932754329680985,2.1658527702160484,0.4868421072425967
