Category,Name,NameDE,NumberCode,Variation,Thickness,Width,Height,LoadBearing,StiffeningFunction,Prefabrication,Placement,Water,Heating,Ventilation,Electricity,FireRequirementsDE,FireRating,AcoustingRating,Finishing,ThermalTransmittance,Version,ImageURL,Reasoning
WALL,Plasterboard on the prefabricated bathroom,Gipskarton am Fertigbad,WAL_31,,13,1000,3000,FALSE,FALSE,3D Mod,INTERNAL,FALSE,FALSE,FALSE,TRUE,GK V,FALSE,IN UNIT,RENDER,,2405,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=95igpxpm&dl=1,
WALL,Interior wall with heating manifold and electrical cabinet,Innenwand mit Heizung- und ElektroVerteiler,WAL_32,,175,1000,3000,FALSE,FALSE,3D Mod,INTERNAL,FALSE,TRUE,FALSE,TRUE,GK V,FALSE,IN UNIT,RENDER,,2405,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=95igpxpm&dl=1,
WALL,Prefabricated bathroom wall,Wand Fertigbad,WAL_33,,27,1000,3000,FALSE,FALSE,3D Mod,INTERNAL,TRUE,FALSE,FALSE,TRUE,GK V,FALSE,IN UNIT,RENDER,,2405,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=95igpxpm&dl=1,
WALL,Stiffening interior wall with tiles,Aussteifende Innenwand mit Fliesen,WAL_34,,70,1000,3000,FALSE,TRUE,3D Mod,INTERNAL,TRUE,FALSE,FALSE,TRUE,GK V,FALSE,IN UNIT,TILES,,2405,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=95igpxpm&dl=1,
WALL,Acoustic shell flat partition wall,Wohnungstrennwand Akustik Schale ,WAL_35,,100,1000,3000,FALSE,FALSE,2D Panels,INTERNAL,FALSE,FALSE,FALSE,FALSE,GK V,FALSE,UNIT PARTITION,RENDER,,2405,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=95igpxpm&dl=1,
SLAB,Floor 3D module standard storey,Boden 3D Modul Regelgeschoss,SLA_21,,255,1000,1000,TRUE,TRUE,3D Mod,INTERNAL,FALSE,TRUE,FALSE,FALSE,GK V,UNIT PARTITION,UNIT PARTITION,PARQUET/TILES/TIMBER/LINOLEUM,,2405,https://www.dropbox.com/scl/fi/sss7gij7i7g4hwu1d7pva/SLA_21.png?rlkey=bv1c43it2cdvo922rg5v6oa28&st=ci9jxv67&dl=1,
SLAB,Ceiling 3D module standard storey,Decke 3D Modul Regelgeschoss,SLA_22,,60,1000,1000,FALSE,TRUE,3D Mod,INTERNAL,FALSE,TRUE,FALSE,FALSE,GK V,FALSE,UNIT PARTITION,TIMBER,,2405,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=95igpxpm&dl=1,Ventilation /heating/ electricity planned on top of the CLT slab
SLAB,Floor 2D area standard storey 120CLT,Boden 2D-Bereich Regelgeschoss 120BSP,SLA_23,,295,1000,1000,TRUE,TRUE,2D Panels,INTERNAL,FALSE,TRUE,FALSE,TRUE,GK V,UNIT PARTITION,UNIT PARTITION,PARQUET/TILES/TIMBER/LINOLEUM,,2405,https://www.dropbox.com/scl/fi/qda6ba9gt87agrg8rpkoe/SLA_23.png?rlkey=k7wxvrtrxof0tvylz7cs65sj7&dl=1,electric and heating installation not integrated in the slab
SLAB,Floor 2D area standard storey 220CLT,Boden 2D-Bereich Regelgeschoss 220BSP,SLA_24,,375,1000,1000,TRUE,TRUE,2D Panels,INTERNAL,FALSE,TRUE,FALSE,TRUE,GK V,UNIT PARTITION,UNIT PARTITION,PARQUET/TILES/TIMBER/LINOLEUM,,2405,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=95igpxpm&dl=1,
SLAB,Floor 2D area standard storey 240CLT,Boden 2D-Bereich Regelgeschoss 240BSP,SLA_25,,415,1000,1000,TRUE,TRUE,2D Panels,INTERNAL,FALSE,TRUE,FALSE,TRUE,GK V,UNIT PARTITION,UNIT PARTITION,PARQUET/TILES/TIMBER/LINOLEUM,,2405,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=95igpxpm&dl=1,
